# ----------------------------------------
# Reports snapshot
# Account: kristallikcomua
# Property: kristallik.com.ua - GA4
# ----------------------------------------
#  
# Start date: 20251101
# End date: 20260309
Nth day,Active users
0000,48
0001,59
0002,59
0003,60
0004,90
0005,64
0006,41
0007,31
0008,28
0009,40
0010,98
0011,45
0012,55
0013,56
0014,34
0015,42
0016,64
0017,54
0018,28
0019,41
0020,53
0021,45
0022,35
0023,66
0024,67
0025,72
0026,87
0027,41
0028,30
0029,27
0030,53
0031,51
0032,61
0033,37
0034,26
0035,25
0036,25
0037,26
0038,33
0039,30
0040,24
0041,26
0042,113
0043,28
0044,27
0045,32
0046,33
0047,33
0048,26
0049,18
0050,24
0051,19
0052,10
0053,32
0054,54
0055,13
0056,17
0057,20
0058,21
0059,13
0060,12
0061,12
0062,14
0063,28
0064,28
0065,18
0066,19
0067,20
0068,21
0069,21
0070,24
0071,25
0072,21
0073,23
0074,20
0075,21
0076,22
0077,20
0078,12
0079,27
0080,30
0081,30
0082,14
0083,12
0084,10
0085,19
0086,25
0087,23
0088,25
0089,23
0090,18
0091,8
0092,17
0093,17
0094,26
0095,14
0096,16
0097,21
0098,18
0099,10
0100,22
0101,17
0102,27
0103,27
0104,21
0105,13
0106,31
0107,27
0108,24
0109,26
0110,17
0111,26
0112,28
0113,24
0114,28
0115,28
0116,36
0117,37
0118,32
0119,28
0120,27
0121,31
0122,35
0123,76
0124,56
0125,30
0126,22
0127,17
0128,2

# Start date: 20251101
# End date: 20260309
Nth day,New users
0000,33
0001,44
0002,41
0003,44
0004,69
0005,54
0006,25
0007,19
0008,17
0009,19
0010,81
0011,24
0012,42
0013,38
0014,16
0015,23
0016,42
0017,32
0018,10
0019,19
0020,33
0021,28
0022,21
0023,44
0024,49
0025,48
0026,58
0027,26
0028,18
0029,15
0030,36
0031,40
0032,47
0033,20
0034,11
0035,15
0036,14
0037,13
0038,17
0039,17
0040,14
0041,10
0042,104
0043,17
0044,17
0045,23
0046,15
0047,20
0048,14
0049,9
0050,13
0051,12
0052,5
0053,26
0054,45
0055,9
0056,9
0057,12
0058,13
0059,6
0060,11
0061,6
0062,7
0063,16
0064,17
0065,8
0066,13
0067,13
0068,6
0069,13
0070,18
0071,24
0072,15
0073,14
0074,15
0075,13
0076,11
0077,13
0078,8
0079,15
0080,25
0081,24
0082,8
0083,7
0084,3
0085,12
0086,18
0087,11
0088,12
0089,12
0090,6
0091,5
0092,10
0093,9
0094,18
0095,9
0096,6
0097,10
0098,11
0099,6
0100,12
0101,10
0102,19
0103,15
0104,13
0105,9
0106,19
0107,15
0108,15
0109,16
0110,9
0111,15
0112,18
0113,17
0114,14
0115,21
0116,18
0117,20
0118,15
0119,14
0120,13
0121,15
0122,21
0123,59
0124,42
0125,18
0126,17
0127,11
0128,2

# Start date: 20251101
# End date: 20260309
Nth day,Average engagement time per active user
0000,229.4375
0001,76.11864406779661
0002,107.2542372881356
0003,60.5
0004,79.07777777777778
0005,64.109375
0006,168.46341463414635
0007,196.2258064516129
0008,63.07142857142857
0009,217.525
0010,109.63265306122449
0011,194.04444444444445
0012,127.10909090909091
0013,147.41071428571428
0014,147.05882352941177
0015,81
0016,161.046875
0017,105.88888888888889
0018,252.5
0019,304.5121951219512
0020,114.9622641509434
0021,180.75555555555556
0022,249.45714285714286
0023,101.68181818181819
0024,101.71641791044776
0025,152.01388888888889
0026,151.88505747126436
0027,121.39024390243902
0028,129.46666666666667
0029,132.5185185185185
0030,164
0031,118.92156862745098
0032,91.67213114754098
0033,143.8108108108108
0034,276.3076923076923
0035,139.44
0036,191.72
0037,250.34615384615384
0038,268.42424242424244
0039,394.06666666666666
0040,207.25
0041,663.7307692307693
0042,21.27433628318584
0043,312.57142857142856
0044,74
0045,70.0625
0046,215.9090909090909
0047,148.15151515151516
0048,236
0049,178.33333333333334
0050,122.33333333333333
0051,65
0052,246.1
0053,41.84375
0054,58.592592592592595
0055,130.30769230769232
0056,102.58823529411765
0057,57
0058,194.42857142857142
0059,12.384615384615385
0060,53.333333333333336
0061,322.6666666666667
0062,144
0063,229.25
0064,115.78571428571429
0065,67.27777777777777
0066,110.73684210526316
0067,154.85
0068,125.0952380952381
0069,142.71428571428572
0070,82.54166666666667
0071,170.64
0072,208.38095238095238
0073,224.30434782608697
0074,119.85
0075,122.28571428571429
0076,117.77272727272727
0077,253.25
0078,53.916666666666664
0079,235.8148148148148
0080,105.86666666666666
0081,125.56666666666666
0082,203.78571428571428
0083,152.08333333333334
0084,118.2
0085,101.3157894736842
0086,314.84
0087,127.91304347826087
0088,165.44
0089,65.3913043478261
0090,150.16666666666666
0091,172.375
0092,208.47058823529412
0093,326.52941176470586
0094,134.6153846153846
0095,290.35714285714283
0096,145.5
0097,502.6666666666667
0098,88.66666666666667
0099,227.2
0100,193.8181818181818
0101,89.41176470588235
0102,274.3703703703704
0103,175.37037037037038
0104,238.71428571428572
0105,113.53846153846153
0106,297.258064516129
0107,140.66666666666666
0108,160.70833333333334
0109,189.92307692307693
0110,181.41176470588235
0111,88.73076923076923
0112,132.67857142857142
0113,350.7083333333333
0114,296.5357142857143
0115,250.64285714285714
0116,168.33333333333334
0117,214.54054054054055
0118,397.3125
0119,361.67857142857144
0120,437.85185185185185
0121,374
0122,126
0123,112.10526315789474
0124,282.55357142857144
0125,179.46666666666667
0126,79.86363636363636
0127,118.17647058823529
0128,521.5

# Start date: 20251101
# End date: 20260309
Nth day,Total revenue
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0

# Where do your new users come from?
# Start date: 20251101
# End date: 20260309
First user primary channel group (Default Channel Group),New users
Organic Search,1494
Direct,553
Cross-network,427
Unassigned,79
Paid Search,47
Organic Social,13
Referral,9
Email,6
Organic Shopping,6
Organic Video,1

#  
# Start date: 20251101
# End date: 20260309
Session primary channel group (Default Channel Group),Sessions
Organic Search,2398
Direct,1701
Cross-network,631
Unassigned,192
Paid Search,97
Referral,31
Organic Social,17
Email,15
Organic Shopping,6
Organic Video,1

#  
# Start date: 20251101
# End date: 20260309
Country ID,Active users
AE,5
AF,8
AL,14
AM,3
AT,2
BE,3
BG,4
BR,2
CN,2
CZ,8
DE,137
DO,1
DZ,1
EE,3
ES,4
FR,18
GE,1
HU,4
ID,18
IE,4
IN,2
IQ,1
IT,6
JO,1
KE,1
LT,1
MD,1
MK,1
NL,5
NO,1
NZ,1
PE,3
PL,19
RO,1
RU,2
SA,1
SG,1
SK,1
SY,1
TR,2
UA,2396
US,57
VN,3

# Start date: 20251101
# End date: 20260309
Country,Active users
UA,2396
DE,137
US,57
PL,19
FR,18
ID,18
AL,14

# How are active users trending?
# Start date: 20251101
# End date: 20260309
Nth day,30 days,7 days,1 day
0000,1266,283,48
0001,1240,313,59
0002,1204,332,59
0003,1218,334,60
0004,1194,360,90
0005,1190,372,64
0006,1197,374,41
0007,1190,355,31
0008,1144,328,28
0009,1139,312,40
0010,1195,350,98
0011,1140,300,45
0012,1130,290,55
0013,1149,301,56
0014,1154,304,34
0015,1128,312,42
0016,1129,340,64
0017,1129,293,54
0018,1113,275,28
0019,1114,256,41
0020,1110,249,53
0021,1096,259,45
0022,1103,252,35
0023,1136,251,66
0024,1168,272,67
0025,1196,312,72
0026,1213,357,87
0027,1196,348,41
0028,1176,332,30
0029,1168,327,27
0030,1169,324,53
0031,1165,309,51
0032,1173,301,61
0033,1148,257,37
0034,1084,239,26
0035,1048,235,25
0036,1036,234,25
0037,1033,208,26
0038,1031,188,33
0039,1025,162,30
0040,958,152,24
0041,944,150,26
0042,1009,234,113
0043,985,242,28
0044,982,243,27
0045,980,248,32
0046,952,247,33
0047,944,256,33
0048,950,261,26
0049,941,166,18
0050,919,163,24
0051,899,159,19
0052,881,138,10
0053,861,143,32
0054,851,164,54
0055,810,153,13
0056,754,153,17
0057,737,147,20
0058,729,150,21
0059,718,153,13
0060,694,138,12
0061,659,96,12
0062,617,94,14
0063,615,106,28
0064,622,111,28
0065,612,109,18
0066,613,115,19
0067,612,119,20
0068,603,124,21
0069,598,129,21
0070,604,130,24
0071,615,132,25
0072,529,135,21
0073,526,140,23
0074,528,142,20
0075,517,141,21
0076,511,138,22
0077,501,133,20
0078,492,120,12
0079,495,122,27
0080,507,130,30
0081,516,138,30
0082,518,133,14
0083,501,123,12
0084,458,115,10
0085,462,123,19
0086,470,122,25
0087,468,114,23
0088,468,105,25
0089,474,113,23
0090,474,119,18
0091,472,120,8
0092,473,118,17
0093,466,111,17
0094,465,111,26
0095,463,103,14
0096,456,97,16
0097,455,97,21
0098,456,105,18
0099,446,101,10
0100,446,108,22
0101,435,99,17
0102,440,114,27
0103,437,122,27
0104,436,122,21
0105,429,117,13
0106,434,137,31
0107,438,140,27
0108,446,144,24
0109,447,142,26
0110,433,137,17
0111,422,138,26
0112,433,147,28
0113,446,145,24
0114,459,150,28
0115,467,155,28
0116,470,160,36
0117,477,172,37
0118,478,175,32
0119,478,167,28
0120,479,160,27
0121,491,165,31
0122,504,167,35
0123,556,208,76
0124,584,231,56
0125,593,231,30
0126,605,237,22
0127,604,232,17
0128,594,214,2

# How well do you retain your users?
# Start date: 20260125
# End date: 20260307
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
Jan 25 - Jan 31,76,1,1,2,2,3
Feb 1 - Feb 7,73,4,2,2,3,-1
Feb 8 - Feb 14,82,1,1,2,-1,-1
Feb 15 - Feb 21,107,4,5,-1,-1,-1
Feb 22 - Feb 28,117,5,-1,-1,-1,-1
Mar 1 - Mar 7,184,-1,-1,-1,-1,-1

#  
# Start date: 20251101
# End date: 20260309
Page title and screen class,Views
Аксесуари для волосся оптом.,4128
Кристалік,2782
Новинки,2211
Главная страница - Кристалік,1858
Краби для волосся оптом.,821
Гребінці для волосся оптом.,722
Усі товари,644
"Резинки для волосся, Безшовні оптом.",572
Новорічний товар оптом.,521
Аксесуари для волосся оптом. - сторінка 3,464
Аксесуари для волосся оптом. - сторінка 2,447
Дитячі резинки для волосся оптом.,382
Новинки - сторінка 2,325
Краби для волосся оптом. - сторінка 2,308
Аксесуари для волосся оптом. - сторінка 4,300
Аксесуари для волосся оптом. - сторінка 5,286
Бантики для волосся оптом.,278
Аксесуари для волосся оптом. - сторінка 6,267
"Резинки для волосся, об'ємні оптом.",267
Пов'язки для волосся оптом.,255
Новинки - сторінка 3,253
Аксесуари для волосся оптом. - сторінка 7,250
Біжутерія XUPING JEWELRY,242
Аксесуари для волосся оптом. - сторінка 8,234
Аксесуари для волосся оптом. - сторінка 9,216
Краби для волосся. Метал-пластик-стрази оптом.,212
Аксесуари для волосся оптом. - сторінка 10,201
Дитяча біжутерія оптом.,201
Гребінці для волосся DAGG оптом.,198
Аксесуари для волосся оптом. - сторінка 11,194
Новинки - сторінка 4,194
Аксесуари для волосся оптом. - сторінка 12,185
Аксесуари для волосся оптом. - сторінка 13,180
Заколки для волосся оптом,177
Аксесуари для волосся оптом. - сторінка 14,170
Гребінці для волосся оптом. - сторінка 2,169
