Дата,Вартість / конв.,Вартість,Конверсії,Цінність конв./вартість
"сб, 1 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 2 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 3 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 4 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 5 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 6 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 7 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 8 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 9 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 10 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 11 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 12 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 13 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 14 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 15 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 16 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 17 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 18 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 19 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 20 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 21 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 22 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 23 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 24 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 25 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 26 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 27 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 28 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 29 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 30 лист. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 1 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 2 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 3 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 4 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 5 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 6 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 7 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 8 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
