mw_id,name,description,page_description,price,availability,brand,sku,category_id,category_name,category_path,category_url,image_main,photos_all,url
111,Заколка Тик-так,"Стильна заколка з яскравим дизайном ТикТок тренду. Зручна для щоденного носіння, міцно тримає волосся. Ідеальна для дівчат і жінок. Якісний матеріал, легка у використанні. Швидка доставка по всій Україні.","Стильна заколка з яскравим дизайном ТикТок тренду. Зручна для щоденного носіння, міцно тримає волосся. Ідеальна для дівчат і жінок. Якісний матеріал, легка у використанні. Швидка доставка по всій Україні.",54.06,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/1485/kdsd/gf54/dsc08721_710x533_crop.JPG,https://cdn.gomw.co/d/product/1485/kdsd/gf54/dsc08721.JPG,https://kristallik.com.ua/product/111/zakolka-tik-tak/
180,Невидимки для волосся. 5.5 см.,"Тонкі та міцні невидимки для волосся довжиною 5,5 см. Ідеальні для укладання та фіксації локонів будь-якої густоти. Непомітні на волоссі, комфортні у використанні та довготривалі. Набір з якісного матеріалу забезпечує надійне утримання зачіски протягом дня. Практичний аксесуар для повсякденного стилю.","Тонкі та міцні невидимки для волосся довжиною 5,5 см. Ідеальні для укладання та фіксації локонів будь-якої густоти. Непомітні на волоссі, комфортні у використанні та довготривалі. Набір з якісного матеріалу забезпечує надійне утримання зачіски протягом дня. Практичний аксесуар для повсякденного стилю.",50.88,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/azdc/85az/kdgf/dsc08800_710x533_crop.JPG,https://cdn.gomw.co/d/product/azdc/85az/kdgf/dsc08800.JPG,https://kristallik.com.ua/product/180/nevidimki-dlya-volossya-5-5-sm/
193,Дитячий набір для волосся.,"Дитячий набір складається з десяти пакетиків, у кожному пакетику по чотири шпильки. Ціна за десять пакетиків.","Дитячий набір складається з десяти пакетиків, у кожному пакетику по чотири шпильки. Ціна за десять пакетиків.",1.54,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/d/product/1485/2437/dcsd/dsc06028_710x533_crop.JPG,https://cdn.gomw.co/d/product/1485/2437/dcsd/dsc06028.JPG|https://cdn.gomw.co/d/product/se21/54gf/sdsd/dsc06029.JPG|https://cdn.gomw.co/d/product/uhsd/54ls/lkuh/dsc08813.JPG,https://kristallik.com.ua/product/193/dityachiy-nabir-dlya-volossya/
194,Дитячий набір для волосся.,"Дитячий набір складається з десяти пакетиків, у кожному пакетику по чотири шпильки. Ціна за десять пакетиків.","Дитячий набір складається з десяти пакетиків, у кожному пакетику по чотири шпильки. Ціна за десять пакетиків.",1.54,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/d/product/85lk/dczq/dc94/dsc06041_710x533_crop.JPG,https://cdn.gomw.co/d/product/85lk/dczq/dc94/dsc06041.JPG|https://cdn.gomw.co/d/product/14dc/37se/1454/dsc06042.JPG|https://cdn.gomw.co/d/product/kdsd/ls24/gfsd/dsc08814.JPG,https://kristallik.com.ua/product/194/dityachiy-nabir-dlya-volossya/
275,Обруч з вушками.,Металлический обруч с ушками для вечеринок.Цена за 12 шт,Металлический обруч с ушками для вечеринок.Цена за 12 шт,26.50,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/sdlk/94gf/uhse/dsc08947_710x533_crop.JPG,https://cdn.gomw.co/d/product/sdlk/94gf/uhse/dsc08947.JPG|https://cdn.gomw.co/d/product/54lk/lkzq/37dc/dsc08945.JPG,https://kristallik.com.ua/product/275/obruch-z-vushkami/
295,Резинки тонкі силіконові. Прозорі.,Резинки силіконові прозорі.В упаковці 12 пакетиків.,Резинки силіконові прозорі.В упаковці 12 пакетиків.,3.31,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/2424/zquh/sdzq/dsc09010_710x533_crop.JPG,https://cdn.gomw.co/d/product/2424/zquh/sdzq/dsc09010.JPG|https://cdn.gomw.co/d/product/sdaz/gf14/lk94/dsc09009.JPG,https://kristallik.com.ua/product/295/rezinki-tonki-silikonovi-prozori/
337,Ободок з бантом.,"Стильний аксесуар для волосся з елегантним бантом. Ідеальний для повсякденного носіння та святкових подій. Зручно сидить на голові, не розслабляється. Замовте цей прекрасний ободок прямо зараз та підкресліть свою індивідуальність.","Стильний аксесуар для волосся з елегантним бантом. Ідеальний для повсякденного носіння та святкових подій. Зручно сидить на голові, не розслабляється. Замовте цей прекрасний ободок прямо зараз та підкресліть свою індивідуальність.",43.99,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/azsd/14lk/gf85/dsc09123_710x533_crop.JPG,https://cdn.gomw.co/d/product/azsd/14lk/gf85/dsc09123.JPG,https://kristallik.com.ua/product/337/obodok-z-bantom/
339,Ободок з бантом.,"Елегантний аксесуар для волосся, який додасть романтичності вашому образу. Зручний ободок з гарним бантом ідеально підходить для повсякденного носіння та святкових подій. Виготовлено з якісних матеріалів, які не дратують шкіру голови.","Елегантний аксесуар для волосся, який додасть романтичності вашому образу. Зручний ободок з гарним бантом ідеально підходить для повсякденного носіння та святкових подій. Виготовлено з якісних матеріалів, які не дратують шкіру голови.",43.99,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/94sd/94uh/kdls/dsc09125_710x533_crop.JPG,https://cdn.gomw.co/d/product/94sd/94uh/kdls/dsc09125.JPG,https://kristallik.com.ua/product/339/obodok-z-bantom/
340,Ободок з бантом.,"Стильний аксесуар для волосся, який додасть вашому образу елегантності та шарму. Ободок з красивим бантом ідеально підходить для повсякденного носіння та спеціальних випадків. Виготовлений з якісних матеріалів, комфортний і зручний. Чудовий подарунок для дівчини будь-якого віку.","Стильний аксесуар для волосся, який додасть вашому образу елегантності та шарму. Ободок з красивим бантом ідеально підходить для повсякденного носіння та спеціальних випадків. Виготовлений з якісних матеріалів, комфортний і зручний. Чудовий подарунок для дівчини будь-якого віку.",43.99,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/37uh/lkls/gfgf/dsc09126_710x533_crop.JPG,https://cdn.gomw.co/d/product/37uh/lkls/gfgf/dsc09126.JPG,https://kristallik.com.ua/product/340/obodok-z-bantom/
348,Сіточка для зачістки. Стрейч.,"Найдосконаліший інструмент для чищення та шліфування різних поверхонь. Гнучка стрейч-сіточка прекрасно справляється з видаленням іржі, фарби та забруднень. Універсальна, довговічна та зручна у використанні для дому та професійних робіт.","Найдосконаліший інструмент для чищення та шліфування різних поверхонь. Гнучка стрейч-сіточка прекрасно справляється з видаленням іржі, фарби та забруднень. Універсальна, довговічна та зручна у використанні для дому та професійних робіт.",9.01,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/sd94/uh24/uh85/dsc09136_710x533_crop.JPG,https://cdn.gomw.co/d/product/sd94/uh24/uh85/dsc09136.JPG,https://kristallik.com.ua/product/348/sitochka-dlya-zachistki-streych/
